"Temperature (C)","Humidity (H)"
"21","18"
"21","18"
"21","17"
"21","17"
"21","18"
"21","17"
"21","18"
"21","58"
"21","67"
"21","65"
"21","67"
"21","66"
"21","65"
"21","65"
"21","65"
"21","65"
"21","65"
"21","65"
"21","62"
"21","64"
"21","63"
"21","63"
"21","63"
"21","62"
"21","62"
"21","61"
"21","60"
"21","58"
"21","57"
"21","56"
"21","53"
"21","51"
"21","50"
"21","50"
"21","49"
"21","48"
"21","43"
"21","46"
"21","46"
"21","45"
"21","45"
"21","45"
"21","34"
"21","31"
"21","42"
"21","42"
"21","41"
