"Temperature (C)","Humidity (H)","Time"
"22","17","15:16:33"
"22","17","15:16:34"
"22","17","15:16:35"
"22","17","15:16:37"
"22","17","15:16:38"
"22","17","15:16:39"
"22","17","15:16:41"
"23","68","15:16:42"
"23","68","15:16:43"
"23","65","15:16:44"
"23","65","15:16:45"
"23","66","15:16:46"
"23","65","15:16:47"
"23","63","15:16:49"
"22","65","15:16:50"
"22","65","15:16:51"
"22","65","15:16:52"
"22","65","15:16:53"
"22","65","15:16:54"
"22","65","15:16:55"
"22","62","15:16:56"
"22","61","15:16:58"
"22","63","15:16:59"
"22","62","15:17:0"
"22","57","15:17:1"
"22","61","15:17:2"
"22","60","15:17:3"
"22","58","15:17:4"
"22","56","15:17:6"
"22","55","15:17:7"
"22","51","15:17:8"
"22","50","15:17:9"
"22","49","15:17:10"
"22","48","15:17:11"
"22","47","15:17:12"
"22","46","15:17:14"
"22","45","15:17:15"
"22","45","15:17:16"
"22","44","15:17:17"
"22","43","15:17:18"
"22","42","15:17:20"
"22","41","15:17:21"
"22","38","15:17:22"
"22","36","15:17:23"
"22","34","15:17:24"
"22","32","15:17:25"
"22","31","15:17:27"
"22","30","15:17:28"
"22","23","15:17:29"
"22","20","15:17:30"
"22","20","15:17:32"
"22","20","15:17:33"
"22","20","15:17:34"
"22","20","15:17:35"
"22","20","15:17:36"
"22","20","15:17:38"
"22","20","15:17:39"
"22","20","15:17:40"
"22","19","15:17:41"
"22","19","15:17:43"
"22","19","15:17:44"
"22","19","15:17:45"
"22","19","15:17:46"
"22","18","15:17:48"
"22","18","15:17:49"
"22","17","15:17:50"
"22","18","15:17:52"
"22","18","15:17:53"
"22","17","15:17:54"
"22","18","15:17:55"
"22","17","15:17:57"
"22","18","15:17:58"
"22","18","15:17:59"
