"Temperature (mBar)","Pression (mBar)","Altitude (m)"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"986"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
,,"991"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
"23","991","undefined"
