"Temperature (C)","Pression (mBar)","Altitude (m)","Latitude","Longitude","Altitude","Time"
"21.05","982.59003","265.32126","undefined","undefined","undefined","16:28:10"
"21.08","982.56","265.61264","undefined","undefined","undefined","16:28:13"
"21.1","982.57001","265.54257","undefined","undefined","undefined","16:28:17"
"21.13","982.57001","265.56964","undefined","undefined","undefined","16:28:20"
"21.17","982.53998","265.87015","undefined","undefined","undefined","16:28:23"
"21.2","982.58002","265.54468","undefined","undefined","undefined","16:28:26"
"21.21","982.65002","264.93564","undefined","undefined","undefined","16:28:29"
"21.26","982.58002","265.59879","undefined","undefined","undefined","16:28:32"
"21.28","982.59998","265.44049","undefined","undefined","undefined","16:28:35"
"21.3","982.57001","265.72305","undefined","undefined","undefined","16:28:38"
"21.32","982.65002","265.03464","undefined","undefined","undefined","16:28:41"
"21.35","982.59003","265.5918","undefined","undefined","undefined","16:28:44"
"21.37","982.60999","265.43344","undefined","undefined","undefined","16:28:47"
"21.39","982.62","265.36325","undefined","undefined","undefined","16:28:50"
"21.42","982.60999","265.47852","undefined","undefined","undefined","16:28:53"
"21.44","982.59003","265.67297","undefined","undefined","undefined","16:28:56"
"21.46","982.60999","265.51456","undefined","undefined","undefined","16:28:59"
"21.48","982.59003","265.70905","undefined","undefined","undefined","16:29:2"
"21.49","982.57001","265.89453","undefined","undefined","undefined","16:29:5"
"21.51","982.58002","265.82434","undefined","undefined","undefined","16:29:8"
"21.53","982.59003","265.75412","undefined","undefined","undefined","16:29:11"
"21.79","982.20001","269.43463","undefined","undefined","undefined","16:29:14"
"23.08","981.90002","273.27716","undefined","undefined","undefined","16:29:17"
"22.47","982.15002","270.4993","undefined","undefined","undefined","16:29:20"
"22.52","982.17999","270.27951","undefined","undefined","undefined","16:29:23"
"22.83","982.41998","268.4342","undefined","undefined","undefined","16:29:26"
"23.04","982.19","270.6662","undefined","undefined","undefined","16:29:29"
"22.98","982.39001","268.83621","undefined","undefined","undefined","16:29:32"
"23","982.41998","268.58838","undefined","undefined","undefined","16:29:35"
"22.98","982.39001","268.83621","undefined","undefined","undefined","16:29:38"
"22.95","982.44","268.36572","undefined","undefined","undefined","16:29:41"
"22.92","982.44","268.33853","undefined","undefined","undefined","16:29:44"
"22.88","982.42999","268.3909","undefined","undefined","undefined","16:29:47"
"22.86","982.45001","268.19449","undefined","undefined","undefined","16:29:50"
"22.85","982.44","268.27509","undefined","undefined","undefined","16:29:53"
"22.85","982.45001","268.18542","undefined","undefined","undefined","16:29:56"
"22.84","982.46002","268.08774","undefined","undefined","undefined","16:29:59"
"22.83","982.42999","268.34558","undefined","undefined","undefined","16:30:2"
"22.83","982.42999","268.34558","undefined","undefined","undefined","16:30:5"
"22.83","982.46002","268.0787","undefined","undefined","undefined","16:30:8"
"22.82","982.45001","268.15826","undefined","undefined","undefined","16:30:11"
"22.82","982.48999","267.80377","undefined","undefined","undefined","16:30:14"
"22.82","982.48999","267.80377","undefined","undefined","undefined","16:30:17"
"22.81","982.47998","267.88434","undefined","undefined","undefined","16:30:20"
"22.81","982.46002","268.06058","undefined","undefined","undefined","16:30:23"
"22.81","982.47998","267.88434","undefined","undefined","undefined","16:30:26"
"22.81","982.45001","268.1492","undefined","undefined","undefined","16:30:29"
"22.81","982.45001","268.1492","undefined","undefined","undefined","16:30:33"
"22.81","982.47998","267.88434","undefined","undefined","undefined","16:30:36"
"22.81","982.46997","267.97296","undefined","undefined","undefined","16:30:39"
"22.81","982.46002","268.06058","undefined","undefined","undefined","16:30:42"
"22.81","982.46997","267.97296","undefined","undefined","undefined","16:30:45"
"22.81","982.46997","267.97296","undefined","undefined","undefined","16:30:48"
"22.81","982.47998","267.88434","undefined","undefined","undefined","16:30:51"
"22.82","982.46997","267.98203","undefined","undefined","undefined","16:30:54"
"22.82","982.5","267.71515","undefined","undefined","undefined","16:30:57"
"22.82","982.48999","267.80377","undefined","undefined","undefined","16:31:0"
"22.83","982.47998","267.90247","undefined","undefined","undefined","16:31:3"
"22.83","982.47998","267.90247","undefined","undefined","undefined","16:31:6"
"22.84","982.46997","268.00012","undefined","undefined","undefined","16:31:9"
"22.84","982.46997","268.00012","undefined","undefined","undefined","16:31:12"
"22.85","982.44","268.27509","undefined","undefined","undefined","16:31:15"
"22.85","982.45001","268.18542","undefined","undefined","undefined","16:31:18"
"22.86","982.45001","268.19449","undefined","undefined","undefined","16:31:21"
"22.86","982.44","268.28415","undefined","undefined","undefined","16:31:24"
"22.87","982.45001","268.20355","undefined","undefined","undefined","16:31:27"
"22.88","982.47998","267.94772","undefined","undefined","undefined","16:31:30"
"22.88","982.47998","267.94772","undefined","undefined","undefined","16:31:33"
