"Temperature (C)","Humidity (H)","Time"
"22","17","15:21:18"
"22","17","15:21:19"
"22","17","15:21:21"
"21","17","15:21:22"
"22","17","15:21:23"
"21","17","15:21:25"
"21","17","15:21:26"
"22","48","15:21:27"
"24","77","15:21:28"
"24","78","15:21:29"
"23","78","15:21:30"
"23","77","15:21:31"
"23","74","15:21:33"
"23","73","15:21:34"
"23","74","15:21:35"
"23","74","15:21:36"
"22","74","15:21:37"
"22","73","15:21:38"
"22","73","15:21:39"
"22","72","15:21:40"
"22","72","15:21:41"
"22","72","15:21:42"
"22","72","15:21:44"
"22","72","15:21:45"
"22","72","15:21:46"
"22","72","15:21:47"
"22","71","15:21:48"
"22","71","15:21:49"
"21","70","15:21:50"
"21","70","15:21:51"
"21","69","15:21:52"
"21","69","15:21:53"
"21","68","15:21:54"
"21","65","15:21:56"
"21","66","15:21:57"
"21","66","15:21:58"
"21","63","15:21:59"
"21","64","15:22:0"
"21","60","15:22:1"
"21","63","15:22:3"
"21","58","15:22:4"
"21","62","15:22:5"
"21","61","15:22:6"
"21","59","15:22:7"
"21","50","15:22:8"
"21","56","15:22:10"
"21","54","15:22:11"
"21","47","15:22:12"
"21","50","15:22:13"
"21","49","15:22:14"
"21","49","15:22:15"
"21","42","15:22:17"
"21","46","15:22:18"
"21","46","15:22:19"
"21","45","15:22:20"
"21","45","15:22:22"
"21","36","15:22:23"
"21","43","15:22:24"
"21","32","15:22:25"
"21","41","15:22:27"
"21","41","15:22:28"
"21","39","15:22:29"
"21","38","15:22:30"
"21","36","15:22:31"
"21","34","15:22:33"
"21","33","15:22:34"
"21","32","15:22:35"
"21","31","15:22:36"
"21","31","15:22:37"
"21","26","15:22:39"
"21","23","15:22:40"
"21","19","15:22:41"
"21","18","15:22:43"
"21","18","15:22:44"
"21","18","15:22:46"
"21","18","15:22:48"
"21","20","15:22:49"
"21","18","15:22:50"
"21","18","15:22:52"
"21","18","15:22:53"
"21","19","15:22:54"
"21","19","15:22:56"
"21","19","15:22:57"
"21","19","15:22:58"
"21","19","15:22:59"
"21","19","15:23:1"
"21","19","15:23:2"
"21","19","15:23:3"
"21","18","15:23:4"
"21","18","15:23:6"
"21","18","15:23:7"
"21","18","15:23:8"
"21","18","15:23:9"
"21","18","15:23:10"
"21","18","15:23:12"
"21","17","15:23:13"
"21","17","15:23:15"
"21","17","15:23:16"
"21","17","15:23:17"
"21","18","15:23:19"
"21","18","15:23:20"
"21","18","15:23:21"
"21","17","15:23:23"
"21","17","15:23:24"
"21","18","15:23:25"
"21","18","15:23:27"
"21","17","15:23:28"
"21","17","15:23:30"
"21","17","15:23:31"
"21","18","15:23:33"
"21","18","15:23:34"
"21","18","15:23:35"
"21","17","15:23:37"
"21","18","15:23:38"
"21","18","15:23:39"
"21","18","15:23:40"
"21","18","15:23:42"
"21","17","15:23:43"
"21","18","15:23:44"
"21","18","15:23:45"
"21","18","15:23:47"
"21","17","15:23:48"
"21","17","15:23:49"
"21","17","15:23:50"
"21","17","15:23:52"
"21","17","15:23:53"
"21","18","15:23:55"
"21","18","15:23:56"
"21","17","15:23:57"
"21","17","15:23:59"
"21","17","15:24:0"
"21","17","15:24:1"
"21","17","15:24:3"
"21","17","15:24:4"
"21","17","15:24:5"
"21","17","15:24:7"
"21","17","15:24:9"
"21","17","15:24:11"
"21","17","15:24:12"
"21","17","15:24:13"
"21","17","15:24:15"
"21","17","15:24:16"
"21","17","15:24:18"
"21","17","15:24:19"
"22","17","15:24:21"
"21","17","15:24:22"
"21","17","15:24:24"
"21","17","15:24:25"
