"Temperature (C)","Humidity (H)"
"21","17"
"21","18"
"21","17"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","17"
"21","18"
"21","18"
"21","17"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","17"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","17"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"22","18"
"21","18"
"21","18"
"21","18"
"21","17"
"21","18"
"21","18"
"21","18"
"21","18"
"21","18"
"22","18"
"22","18"
"22","18"
"22","17"
"22","18"
"22","17"
"22","18"
"22","18"
"22","17"
"22","18"
"22","17"
"22","18"
"22","18"
"22","18"
"22","18"
"22","17"
"22","18"
"22","18"
"22","18"
"22","18"
"22","17"
"22","18"
"22","18"
"22","18"
"22","18"
"22","75"
"24","89"
"24","90"
"24","90"
"24","90"
"23","90"
"23","90"
"23","90"
"23","89"
"23","89"
"23","88"
"23","88"
"22","86"
"22","84"
"22","84"
"22","83"
"22","83"
"22","82"
"22","81"
"22","81"
"22","80"
"22","80"
"22","79"
"22","79"
"22","78"
"22","76"
"22","75"
"22","74"
"22","70"
"22","72"
"22","71"
"22","70"
"22","69"
"22","69"
"22","68"
"22","67"
"22","66"
"22","65"
"22","65"
"22","64"
"22","63"
"22","63"
"22","58"
"22","62"
"22","62"
"22","61"
"22","60"
"22","58"
"22","57"
"22","56"
"22","56"
"22","54"
"22","52"
"22","51"
"22","51"
"22","50"
"22","50"
"22","50"
"22","50"
"22","45"
"22","49"
"22","43"
"22","48"
"22","47"
"22","47"
"22","46"
"22","46"
"22","46"
"22","45"
"22","45"
"22","45"
"22","45"
"22","39"
"22","45"
"22","45"
"22","45"
"22","44"
"22","44"
"22","43"
"22","43"
"22","31"
"22","41"
"22","41"
"22","41"
"22","23"
"22","37"
"22","37"
"22","36"
"22","35"
"22","34"
"22","20"
"22","32"
"22","32"
"22","32"
"22","31"
"22","31"
"22","20"
"22","20"
"22","23"
"22","25"
"22","25"
"22","23"
"22","23"
"22","21"
"22","20"
"22","20"
"22","20"
"22","20"
"22","20"
