"Temperature (C)","Humidity (H)","Time"
"25","15","15:25:49"
"25","15","15:25:51"
"25","15","15:25:52"
"25","15","15:25:53"
"25","15","15:25:54"
"25","15","15:25:56"
"25","15","15:25:57"
"25","15","15:25:59"
"25","15","15:26:0"
"25","15","15:26:1"
"25","15","15:26:3"
"25","15","15:26:4"
"25","15","15:26:6"
"25","15","15:26:7"
"25","15","15:26:8"
"25","15","15:26:9"
"25","15","15:26:11"
"25","15","15:26:12"
"25","15","15:26:14"
"25","15","15:26:15"
"25","15","15:26:17"
"25","15","15:26:18"
"25","15","15:26:19"
"25","15","15:26:21"
"25","15","15:26:22"
"25","15","15:26:23"
"25","15","15:26:24"
"25","15","15:26:26"
"25","15","15:26:27"
"25","15","15:26:28"
"25","15","15:26:30"
"25","15","15:26:31"
"25","15","15:26:32"
"25","15","15:26:34"
"25","15","15:26:35"
"25","15","15:26:36"
"25","15","15:26:37"
