"Temperature (C)","Pression (mBar)","Altitude (m)","Time"
"28","993","177","18:25:13"
"28","993","177","18:25:14"
"28","993","177","18:25:14"
"28","993","177","18:25:15"
"28","993","177","18:25:15"
"28","993","177","18:25:16"
"28","993","177","18:25:16"
"28","993","177","18:25:17"
"28","993","177","18:25:17"
"28","993","177","18:25:18"
"28","993","177","18:25:18"
"28","993","177","18:25:19"
"28","993","177","18:25:20"
"28","993","177","18:25:20"
"28","993","177","18:25:21"
"28","993","177","18:25:21"
"28","993","177","18:25:22"
"28","993","177","18:25:22"
"28","993","177","18:25:23"
"28","993","177","18:25:23"
"28","993","177","18:25:24"
"28","993","177","18:25:24"
"28","993","177","18:25:25"
"28","993","177","18:25:25"
"28","993","177","18:25:26"
"28","993","177","18:25:26"
"28","993","177","18:25:27"
"28","993","176","18:25:27"
"28","993","177","18:25:28"
"28","993","177","18:25:28"
"28","993","176","18:25:29"
"28","993","176","18:25:29"
"28","993","177","18:25:30"
"28","993","176","18:25:31"
"28","993","176","18:25:31"
"28","993","177","18:25:32"
"28","993","176","18:25:32"
"28","993","176","18:25:33"
"28","993","176","18:25:33"
"28","993","176","18:25:34"
"28","993","176","18:25:34"
"28","993","176","18:25:35"
"28","993","176","18:25:35"
"28","993","176","18:25:36"
"28","993","176","18:25:36"
"28","993","176","18:25:37"
"28","993","176","18:25:37"
"28","993","176","18:25:38"
"28","993","176","18:25:38"
"28","993","176","18:25:39"
"28","993","176","18:25:39"
"28","993","176","18:25:40"
"28","993","176","18:25:40"
"28","993","176","18:25:41"
"28","993","176","18:25:41"
"28","993","176","18:25:42"
"28","993","176","18:25:43"
"28","993","176","18:25:43"
"28","993","176","18:25:44"
"28","993","176","18:25:44"
"28","993","176","18:25:45"
"28","993","176","18:25:45"
"28","993","176","18:25:46"
"28","993","176","18:25:46"
"28","993","176","18:25:47"
"28","993","176","18:25:47"
"28","993","176","18:25:48"
"28","993","176","18:25:48"
"28","993","176","18:25:49"
"28","993","177","18:25:49"
